side	text	href	target
live		https://qr.margariteros.bar/	
live		https://qr.margariteros.bar/search	
live		https://clients.choiceqr.com/auth/login/me	
live	Na miejscu17:00 - 23:00	https://qr.margariteros.bar/pl/menu	
live	Odbiór osobisty17:00 - 23:00-10%	https://qr.margariteros.bar/pl/takeaway	
live	Dostawa17:00 - 22:00	https://qr.margariteros.bar/pl/delivery	
live	Menu	https://qr.margariteros.bar/section:menu	
live	Cocktails	https://qr.margariteros.bar/section:cocktails	
live	Chupitos	https://qr.margariteros.bar/section:chupitos	
live	Cervezas	https://qr.margariteros.bar/section:cervezas	
live	Napoje alkoholowe	https://qr.margariteros.bar/section:napoje-alkoholowe	
live	Agave Spirits	https://qr.margariteros.bar/section:agave-spirits	
live	Napoje	https://qr.margariteros.bar/section:napoje	
live	Rezerwacje	https://qr.margariteros.bar/booking	
live	Obszary dostawy	https://qr.margariteros.bar/delivery-areas	
live	Prześlij opinię	https://qr.margariteros.bar/feedback	
live	+48 728 805 628	tel:+48 728 805 628	
live	margaritabar.pl@gmail.com	mailto:margaritabar.pl@gmail.com	
live	Instagram	https://www.instagram.com/margariteros.bar?igsh=NnZoNXN0Y3M5cTNx	_blank
live	TikTok	https://www.tiktok.com/@margariteros.bar?_t=ZN-8xnyI1pprok&_r=1	_blank
live	Google	https://g.page/r/Cbl9JpsyGsLTEBM/review	_blank
live	TripAdvisor	https://www.tripadvisor.com/Restaurant_Review-g274856-d33238464-Reviews-Margariteros-Warsaw_Mazovia_Province_Central_Poland.html	_blank
live	Facebook	https://www.facebook.com/profile.php?id=61576663994634	_blank
live	Dowiedz się, jak dojechać	https://maps.google.com/?q=Chmielna%207/9,%2000-021%20Warszawa,%20Poland	_blank
live		https://choiceqr.com/pl	_blank
local	Margariteros Cocktail Bar - WarszawaTacos, baile y Margarita	https://qr.margariteros.bar/	
local	Strona główna	https://qr.margariteros.bar/	
local	Menu	https://qr.margariteros.bar/section:menu	
local	Rezerwacje	https://qr.margariteros.bar/booking	
local	Obszary dostawy	https://qr.margariteros.bar/delivery-areas	
local	Prześlij opinię	https://qr.margariteros.bar/feedback	
local		https://clients.choiceqr.com/auth/login/me?lang=en	
local		https://qr.margariteros.bar/	
local		https://qr.margariteros.bar/search	
local		https://clients.choiceqr.com/auth/login/me?lang=en	
local	Na miejscu17:00 - 23:00	https://qr.margariteros.bar/pl/menu	
local	Odbiór osobisty17:00 - 23:00-10%	https://qr.margariteros.bar/pl/takeaway	
local	Dostawa17:00 - 22:00	https://qr.margariteros.bar/pl/delivery	
local	Menu	https://qr.margariteros.bar/section:menu	
local	Cocktails	https://qr.margariteros.bar/section:cocktails	
local	Chupitos	https://qr.margariteros.bar/section:chupitos	
local	Cervezas	https://qr.margariteros.bar/section:cervezas	
local	Napoje alkoholowe	https://qr.margariteros.bar/section:napoje-alkoholowe	
local	Agave Spirits	https://qr.margariteros.bar/section:agave-spirits	
local	Napoje	https://qr.margariteros.bar/section:napoje	
local	Rezerwacje	https://qr.margariteros.bar/booking	
local	Obszary dostawy	https://qr.margariteros.bar/delivery-areas	
local	Prześlij opinię	https://qr.margariteros.bar/feedback	
local	Pokaż na mapie	https://maps.google.com/?q=Chmielna%207%2F9%2C%2000-021%20Warszawa%2C%20Poland	_blank
local	Zadzwoń	tel:+48728805628	
local	Rezerwacje	https://qr.margariteros.bar/booking	
local	Adres:Chmielna 7/9, 00-021 Warszawa, Poland	https://maps.google.com/?q=Chmielna%207%2F9%2C%2000-021%20Warszawa%2C%20Poland	_blank
local	Telefon:+48 728 805 628	tel:+48728805628	
local	E-mail:margaritabar.pl@gmail.com	mailto:margaritabar.pl@gmail.com	
local	Instagram	https://www.instagram.com/margariteros.bar?igsh=NnZoNXN0Y3M5cTNx	_blank
local	TikTok	https://www.tiktok.com/@margariteros.bar?_t=ZN-8xnyI1pprok&_r=1	_blank
local	Google	https://g.page/r/Cbl9JpsyGsLTEBM/review	_blank
local	TripAdvisor	https://www.tripadvisor.com/Restaurant_Review-g274856-d33238464-Reviews-Margariteros-Warsaw_Mazovia_Province_Central_Poland.html	_blank
local	Facebook	https://www.facebook.com/profile.php?id=61576663994634	_blank
local		https://maps.google.com/?q=Chmielna%207%2F9%2C%2000-021%20Warszawa%2C%20Poland	_blank
local	Dowiedz się, jak dojechać	https://maps.google.com/?q=Chmielna%207%2F9%2C%2000-021%20Warszawa%2C%20Poland	_blank
local	+48 728 805 628	tel:+48728805628	
local	margaritabar.pl@gmail.com	mailto:margaritabar.pl@gmail.com	
local	Instagram	https://www.instagram.com/margariteros.bar?igsh=NnZoNXN0Y3M5cTNx	_blank
local	TikTok	https://www.tiktok.com/@margariteros.bar?_t=ZN-8xnyI1pprok&_r=1	_blank
local	Google	https://g.page/r/Cbl9JpsyGsLTEBM/review	_blank
local	TripAdvisor	https://www.tripadvisor.com/Restaurant_Review-g274856-d33238464-Reviews-Margariteros-Warsaw_Mazovia_Province_Central_Poland.html	_blank
local	Facebook	https://www.facebook.com/profile.php?id=61576663994634	_blank
local		https://maps.google.com/?q=Chmielna%207%2F9%2C%2000-021%20Warszawa%2C%20Poland	_blank
local	Dowiedz się, jak dojechać	https://maps.google.com/?q=Chmielna%207%2F9%2C%2000-021%20Warszawa%2C%20Poland	_blank
local	Cookie Policy	https://qr.margariteros.bar/cookie-policy	
local	Terms of Use	https://qr.margariteros.bar/terms-of-use	
local	Privacy Policy	https://qr.margariteros.bar/privacy-policy	
local	Choice	https://choiceqr.com/en	_blank
local	English	http://127.0.0.1:4334/en/	
local	Polish	http://127.0.0.1:4334/pl/	
local	Russian	http://127.0.0.1:4334/ru/	
local	French	https://qr.margariteros.bar/?lang=French	
local	German	https://qr.margariteros.bar/?lang=German	
local	Italian	https://qr.margariteros.bar/?lang=Italian	
local	Spanish	http://127.0.0.1:4334/es/	
local	Turkish	https://qr.margariteros.bar/?lang=Turkish	
local	Abkhaz	https://qr.margariteros.bar/?lang=Abkhaz	
local	Acehnese	https://qr.margariteros.bar/?lang=Acehnese	
local	Acholi	https://qr.margariteros.bar/?lang=Acholi	
local	Afrikaans	https://qr.margariteros.bar/?lang=Afrikaans	
local	Albanian	https://qr.margariteros.bar/?lang=Albanian	
local	Alur	https://qr.margariteros.bar/?lang=Alur	
local	Amharic	https://qr.margariteros.bar/?lang=Amharic	
local	Arabic	https://qr.margariteros.bar/?lang=Arabic	
local	Armenian	https://qr.margariteros.bar/?lang=Armenian	
local	Assamese	https://qr.margariteros.bar/?lang=Assamese	
local	Awadhi	https://qr.margariteros.bar/?lang=Awadhi	
local	Aymara	https://qr.margariteros.bar/?lang=Aymara	
local	Azerbaijani	https://qr.margariteros.bar/?lang=Azerbaijani	
local	Balinese	https://qr.margariteros.bar/?lang=Balinese	
local	Bambara	https://qr.margariteros.bar/?lang=Bambara	
local	Bashkir	https://qr.margariteros.bar/?lang=Bashkir	
local	Basque	https://qr.margariteros.bar/?lang=Basque	
local	Batak Karo	https://qr.margariteros.bar/?lang=Batak%20Karo	
local	Batak Simalungun	https://qr.margariteros.bar/?lang=Batak%20Simalungun	
local	Batak Toba	https://qr.margariteros.bar/?lang=Batak%20Toba	
local	Belarusian	https://qr.margariteros.bar/?lang=Belarusian	
local	Bemba	https://qr.margariteros.bar/?lang=Bemba	
local	Bengali	https://qr.margariteros.bar/?lang=Bengali	
local	Betawi	https://qr.margariteros.bar/?lang=Betawi	
local	Bhojpuri	https://qr.margariteros.bar/?lang=Bhojpuri	
local	Bikol	https://qr.margariteros.bar/?lang=Bikol	
local	Bosnian	https://qr.margariteros.bar/?lang=Bosnian	
local	Breton	https://qr.margariteros.bar/?lang=Breton	
local	Bulgarian	https://qr.margariteros.bar/?lang=Bulgarian	
local	Buryat	https://qr.margariteros.bar/?lang=Buryat	
local	Cantonese	https://qr.margariteros.bar/?lang=Cantonese	
local	Catalan	https://qr.margariteros.bar/?lang=Catalan	
local	Cebuano	https://qr.margariteros.bar/?lang=Cebuano	
local	Chichewa	https://qr.margariteros.bar/?lang=Chichewa	
local	Chinese (Simplified)	https://qr.margariteros.bar/?lang=Chinese%20(Simplified)	
local	Chuvash	https://qr.margariteros.bar/?lang=Chuvash	
local	Corsican	https://qr.margariteros.bar/?lang=Corsican	
local	Crimean Tatar	https://qr.margariteros.bar/?lang=Crimean%20Tatar	
local	Croatian	https://qr.margariteros.bar/?lang=Croatian	
local	Czech	https://qr.margariteros.bar/?lang=Czech	
local	Danish	https://qr.margariteros.bar/?lang=Danish	
local	Dhivehi	https://qr.margariteros.bar/?lang=Dhivehi	
local	Dinka	https://qr.margariteros.bar/?lang=Dinka	
local	Dogri	https://qr.margariteros.bar/?lang=Dogri	
local	Dombe	https://qr.margariteros.bar/?lang=Dombe	
local	Dutch	https://qr.margariteros.bar/?lang=Dutch	
local	Dzongkha	https://qr.margariteros.bar/?lang=Dzongkha	
local	Esperanto	https://qr.margariteros.bar/?lang=Esperanto	
local	Estonian	https://qr.margariteros.bar/?lang=Estonian	
